Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,100.4,-83.8,90.0,bottom
C10,100n,C_0402_1005Metric,99.2,-98.7,315.0,bottom
C11,1u,C_0402_1005Metric,98.4,-77.1,180.0,bottom
C12,100n,C_0402_1005Metric,102.4,-83.8,90.0,bottom
C13,100n,C_0402_1005Metric,109.0,-91.61,180.0,bottom
C14,22p,C_0402_1005Metric,105.3,-100.9,135.0,bottom
C15,22p,C_0402_1005Metric,101.8,-101.0,45.0,bottom
C16,100n,C_0402_1005Metric,108.874174,-87.125793,90.0,bottom
C2,100n,C_0402_1005Metric,103.6,-82.4,90.0,bottom
C3,100n,C_0402_1005Metric,97.9,-98.5,315.0,bottom
C4,10u,C_0603_1608Metric,96.65,-77.95,270.0,bottom
C5,1u,C_0402_1005Metric,99.3,-83.8,90.0,bottom
C6,1u,C_0402_1005Metric,98.1,-71.4,180.0,bottom
C7,100n,C_0402_1005Metric,95.6,-91.61,0.0,bottom
C8,100nF,C_0402_1005Metric,117.5,-70.6,90.0,bottom
C9,100n,C_0402_1005Metric,96.2,-87.59,0.0,bottom
D1,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-73.81875,90.0,bottom
D10,D_Small,D_SOD-123-ShiftedSoldermask,127.0,-150.01875,90.0,bottom
D11,D_Small,D_SOD-123-ShiftedSoldermask,131.7625,-169.06875,90.0,bottom
D12,D_Small,D_SOD-123-ShiftedSoldermask,124.61875,-188.11875,90.0,bottom
D13,D_Small,D_SOD-123-ShiftedSoldermask,148.43125,-73.81875,90.0,bottom
D14,D_Small,D_SOD-123-ShiftedSoldermask,138.90625,-111.91875,90.0,bottom
D15,D_Small,D_SOD-123-ShiftedSoldermask,148.43125,-130.96875,90.0,bottom
D16,D_Small,D_SOD-123-ShiftedSoldermask,153.19375,-150.01875,90.0,bottom
D17,D_Small,D_SOD-123-ShiftedSoldermask,147.6375,-169.06875,90.0,bottom
D18,D_Small,D_SOD-123-ShiftedSoldermask,167.48125,-73.81875,90.0,bottom
D19,D_Small,D_SOD-123-ShiftedSoldermask,157.95625,-111.91875,90.0,bottom
D2,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-111.91875,90.0,bottom
D20,D_Small,D_SOD-123-ShiftedSoldermask,167.48125,-130.96875,90.0,bottom
D21,D_Small,D_SOD-123-ShiftedSoldermask,172.24375,-150.01875,90.0,bottom
D22,D_Small,D_SOD-123-ShiftedSoldermask,162.71875,-169.06875,90.0,bottom
D23,D_Small,D_SOD-123-ShiftedSoldermask,162.71875,-188.11875,90.0,bottom
D24,D_Small,D_SOD-123-ShiftedSoldermask,186.53125,-73.81875,90.0,bottom
D25,D_Small,D_SOD-123-ShiftedSoldermask,177.00625,-111.91875,90.0,bottom
D26,D_Small,D_SOD-123-ShiftedSoldermask,186.53125,-130.96875,90.0,bottom
D27,D_Small,D_SOD-123-ShiftedSoldermask,191.29375,-150.01875,90.0,bottom
D28,D_Small,D_SOD-123-ShiftedSoldermask,181.76875,-169.06875,90.0,bottom
D29,D_Small,D_SOD-123-ShiftedSoldermask,196.05625,-111.91875,90.0,bottom
D3,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-130.96875,90.0,bottom
D30,D_Small,D_SOD-123-ShiftedSoldermask,205.58125,-130.96875,90.0,bottom
D31,D_Small,D_SOD-123-ShiftedSoldermask,210.34375,-150.01875,90.0,bottom
D32,D_Small,D_SOD-123-ShiftedSoldermask,200.81875,-169.06875,90.0,bottom
D33,D_Small,D_SOD-123-ShiftedSoldermask,215.10625,-73.81875,90.0,bottom
D34,D_Small,D_SOD-123-ShiftedSoldermask,215.10625,-111.91875,90.0,bottom
D35,D_Small,D_SOD-123-ShiftedSoldermask,219.86875,-169.06875,90.0,bottom
D36,D_Small,D_SOD-123-ShiftedSoldermask,211.1375,-188.7125,90.0,bottom
D37,D_Small,D_SOD-123-ShiftedSoldermask,223.8375,-73.81875,90.0,bottom
D38,D_Small,D_SOD-123-ShiftedSoldermask,223.8375,-111.91875,90.0,bottom
D39,D_Small,D_SOD-123-ShiftedSoldermask,214.3125,-130.96875,90.0,bottom
D4,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-150.01875,90.0,bottom
D40,D_Small,D_SOD-123-ShiftedSoldermask,219.075,-150.01875,90.0,bottom
D41,D_Small,D_SOD-123-ShiftedSoldermask,228.6,-169.06875,90.0,bottom
D5,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-169.06875,90.0,bottom
D6,D_Small,D_SOD-123-ShiftedSoldermask,91.28125,-188.11875,90.0,bottom
D7,D_Small,D_SOD-123-ShiftedSoldermask,129.38125,-73.81875,90.0,bottom
D8,D_Small,D_SOD-123-ShiftedSoldermask,119.85625,-111.91875,90.0,bottom
D9,D_Small,D_SOD-123-ShiftedSoldermask,124.61875,-130.96875,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,89.6,-58.8,0.0,bottom
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,98.541851,-58.436392,247.0,bottom
J3,AudioJack4,AUDIO-TH_XKB_PJ-320A,137.2567,-55.155,0.0,bottom
J4,Conn_01x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,206.8,-63.875,180.0,bottom
R1,5.1k,R_0402_1005Metric,104.0,-111.8,180.0,bottom
R10,5.1k,R_0402_1005Metric,93.76265,-59.313023,247.0,bottom
R12,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,136.525,-148.0,90.0,bottom
R2,27R,R_0402_1005Metric,101.9,-81.0,270.0,bottom
R3,27R,R_0402_1005Metric,100.8,-81.0,90.0,bottom
R4,1k,R_0402_1005Metric,126.20625,-104.775,90.0,bottom
R5,5.1k,R_0402_1005Metric,117.475,-73.3,90.0,bottom
R6,5.1k,R_0402_1005Metric,117.475,-75.40625,90.0,bottom
R7,1k,R_0402_1005Metric,102.1,-97.6,135.0,bottom
R8,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.04375,-93.0,0.0,bottom
R9,5.1k,R_0402_1005Metric,95.2,-62.4,67.0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,102.6,-90.4,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,113.9,-73.1,90.0,bottom
U3,XC6206PxxxMR,SOT-23-3,97.6,-74.25,90.0,bottom
U4,SRV05-4,SOT-23-6-routable,97.6,-67.6,270.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,103.8,-99.2,135.0,bottom
