Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,112.3,-40.0,180.0,bottom
C10,1u,C_0402_1005Metric,109.4,-33.9,0.0,bottom
C11,100n,C_0402_1005Metric,97.710589,-40.0,45.0,bottom
C12,100n,C_0402_1005Metric,112.4,-42.5,180.0,bottom
C13,100n,C_0402_1005Metric,104.88,-48.5,270.0,bottom
C14,22p,C_0402_1005Metric,94.7,-45.2,225.0,bottom
C15,22p,C_0402_1005Metric,94.8,-42.1,135.0,bottom
C16,100n,C_0402_1005Metric,108.91,-48.1,270.0,bottom
C2,100n,C_0402_1005Metric,113.3,-43.5,180.0,bottom
C3,100n,C_0402_1005Metric,98.5,-39.2,45.0,bottom
C4,10u,C_0603_1608Metric,109.1,-32.6,0.0,bottom
C5,1u,C_0402_1005Metric,112.3,-38.9,180.0,bottom
C6,1u,C_0402_1005Metric,114.9,-31.5,270.0,bottom
C7,100n,C_0402_1005Metric,105.35,-37.47,90.0,bottom
C8,100nF,C_0402_1005Metric,120.5,-37.8,90.0,bottom
C9,100n,C_0402_1005Metric,108.95,-37.3,90.0,bottom
D10,D_Small,D_SOD-123-ShiftedSoldermask,81.75625,-60.325,90.0,bottom
D11,D_Small,D_SOD-123-ShiftedSoldermask,81.75625,-79.375,90.0,bottom
D12,D_Small,D_SOD-123-ShiftedSoldermask,81.75625,-98.425,90.0,bottom
D13,D_Small,D_SOD-123-ShiftedSoldermask,81.75625,-117.475,90.0,bottom
D14,D_Small,D_SOD-123-ShiftedSoldermask,81.75625,-136.525,90.0,bottom
D15,D_Small,D_SOD-123-ShiftedSoldermask,100.80625,-60.325,90.0,bottom
D16,D_Small,D_SOD-123-ShiftedSoldermask,100.80625,-79.375,90.0,bottom
D17,D_Small,D_SOD-123-ShiftedSoldermask,100.80625,-98.425,90.0,bottom
D18,D_Small,D_SOD-123-ShiftedSoldermask,100.80625,-117.475,90.0,bottom
D19,D_Small,D_SOD-123-ShiftedSoldermask,90.4875,-136.525,90.0,bottom
D20,D_Small,D_SOD-123-ShiftedSoldermask,119.85625,-60.325,90.0,bottom
D21,D_Small,D_SOD-123-ShiftedSoldermask,112.2,-81.0,180.0,bottom
D22,D_Small,D_SOD-123-ShiftedSoldermask,119.85625,-98.425,90.0,bottom
D23,D_Small,D_SOD-123-ShiftedSoldermask,112.2,-119.1,180.0,bottom
D24,D_Small,D_SOD-123-ShiftedSoldermask,119.85625,-136.525,90.0,bottom
D5,D_Small,D_SOD-123-ShiftedSoldermask,62.70625,-60.325,90.0,bottom
D6,D_Small,D_SOD-123-ShiftedSoldermask,62.70625,-79.375,90.0,bottom
D7,D_Small,D_SOD-123-ShiftedSoldermask,62.70625,-98.3625,90.0,bottom
D8,D_Small,D_SOD-123-ShiftedSoldermask,62.70625,-117.475,90.0,bottom
D9,D_Small,D_SOD-123-ShiftedSoldermask,52.3875,-136.525,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,115.0,-28.4,180.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.45,-24.5312,90.0,bottom
R1,5.1k,R_0603_1608Metric,74.5,-46.0,180.0,bottom
R11,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,107.15625,-58.1,90.0,bottom
R12,1k,R_0603_1608Metric,88.1,-54.8,180.0,bottom
R13,5.1k,R_0402_1005Metric,120.5,-34.6,270.0,bottom
R14,5.1k,R_0402_1005Metric,120.5,-32.6,270.0,bottom
R15,5.1k,R_0402_1005Metric,113.0,-23.3,270.0,bottom
R16,5.1k,R_0402_1005Metric,113.4,-25.9,180.0,bottom
R17,1k,R_0402_1005Metric,98.3,-42.4,225.0,bottom
R2,27R,R_0402_1005Metric,115.4,-42.1,0.0,bottom
R3,27R,R_0402_1005Metric,115.4,-41.1,180.0,bottom
R5,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,69.05625,-77.15,270.0,bottom
R7,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,69.05625,-58.1,90.0,bottom
R9,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,88.10625,-77.15,270.0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,106.1,-42.8,90.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,124.09,-34.7,270.0,bottom
U3,XC6206PxxxMR,SOT-23-3,112.6,-32.6,90.0,bottom
U4,SRV05-4,SOT-23-6-routable,116.373108,-24.984206,270.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,96.7,-44.0,225.0,bottom
